year;region;obesity;consumption(per pers per week in ml);caloric;non-caloric
2006;North_East;4.389;2.086;1264,370751;473,1808843
2006;North_West;14.590;2.002;1175,159753;493
2006;Yorkshire_and_The_Humber;4.881;2.242;1346,137687;570,3214001
2006;East_Midlands;6.791;2.399;1494,959393;558,9791837
2006;West_Midlands;9.033;2.316;1400,617947;600,2700258
2006;East;9.966;2.061;1.154;585
2006;London;10.100;1.822;1037,666379;411
2006;South_East;10.745;1.961;1.253;454
2006;South_West;9.618;1.967;1.246;462
2006;England;80.113;2.067;1.245;505
2007;North_East;4.775;2.233;833,3221912;861,0063334
2007;North_West;15.343;1.991;1140,641095;576
2007;Yorkshire_and_The_Humber;5.215;1.991;1191,36299;494,5422057
2007;East_Midlands;7.063;1.930;1117,487853;555,1339314
2007;West_Midlands;9.324;2.001;1284,463585;445,5017337
2007;East;9.836;2.007;1.171;582
2007;London;9.578;1.609;946,4463322;335
2007;South_East;11.520;2.012;1.223;513
2007;South_West;8.236;1.758;1.096;408
2007;England;80.914;1.924;1.144;498
2008;North_East;5.901;1.985;1130,588279;542,619976
2008;North_West;19.184;1.947;1220,505222;430
2008;Yorkshire_and_The_Humber;8.004;1.863;1111,987878;469,3442737
2008;East_Midlands;10.213;1.947;1153,647708;514,8177125
2008;West_Midlands;12.640;1.942;1179,184112;499,9551875
2008;East;12.184;2.010;1.242;522
2008;London;12.081;1.565;996,2234353;271
2008;South_East;13.497;1.973;1.152;582
2008;South_West;9.233;1.879;1.203;461
2008;England;102.987;1.886;1.152;465
2009;North_East;8.900;1.919;1202,142102;474,4655354
2009;North_West;25.056;1.894;1130,227816;448
2009;Yorkshire_and_The_Humber;12.651;1.824;1178,792274;414,0967461
2009;East_Midlands;12.397;2.213;1312,013336;618,6647804
2009;West_Midlands;18.497;1.935;1275,911738;409,429173
2009;East;19.449;1.898;1.116;548
2009;London;17.458;1.577;988,2643003;320
2009;South_East;15.612;1.939;1.210;458
2009;South_West;12.160;1.925;1.279;449
2009;England;142.219;1.886;1.177;450
2010;North_East;14.523;2.005;1139,361807;575,2670678
2010;North_West;32.995;1.918;1031,381136;648
2010;Yorkshire_and_The_Humber;23.883;1.903;1092,356028;550,6299313
2010;East_Midlands;21.060;2.075;1218,478277;613,2503033
2010;West_Midlands;25.453;2.075;1135,609069;698,1150036
2010;East;27.476;1.996;1.249;513
2010;London;23.902;1.499;920,0681266;286
2010;South_East;22.121;1.986;1.155;593
2010;South_West;20.322;1.871;1.101;520
2010;England;211.783;1.901;1.104;545
2011;North_East;15.345;1.959;959,5173179;704,0068665
2011;North_West;39.000;1.843;940,4071987;654
2011;Yorkshire_and_The_Humber;31.015;1.790;909,9045292;630,3909902
2011;East_Midlands;22.362;1.854;825,8737204;800,5308291
2011;West_Midlands;34.721;2.071;1049,685076;798,1513877
2011;East;32.540;2.016;1.037;753
2011;London;33.265;1.554;839,5950639;436
2011;South_East;30.633;1.833;864;728
2011;South_West;27.720;1.919;1.009;675
2011;England;266.666;1.850;930;674
2012;North_East;17.409;1.969;811,9521831;930,5708359
2012;North_West;41.358;1.854;895,4637902;730
2012;Yorkshire_and_The_Humber;27.529;1.804;837,9064483;726,2909011
2012;East_Midlands;19.256;2.043;979,3810057;837,2480478
2012;West_Midlands;40.394;1.884;924,4643074;721,4960419
2012;East;35.377;2.018;974;824
2012;London;37.892;1.595;835,0127747;501
2012;South_East;36.779;1.792;832;733
2012;South_West;36.338;1.695;798;692
2012;England;292.404;1.828;875;720
2013;North_East;18.824;1.961;665,7771412;1037,952893
2013;North_West;55.848;1.920;836,22877;812
2013;Yorkshire_and_The_Humber;36.507;1.789;842,5502733;699,299281
2013;East_Midlands;25.932;1.975;854,0945049;871,4654856
2013;West_Midlands;45.682;1.916;846,146582;843,6144986
2013;East;40.989;1.982;859;892
2013;London;42.511;1.546;857,3030234;444
2013;South_East;51.102;1.844;765;829
2013;South_West;48.098;1.916;935;768
2013;England;365.577;1.848;836;769
2014;North_East;19.414;2.139;793,9979868;1088,327114
2014;North_West;70.380;1.913;749,764025;922
2014;Yorkshire_and_The_Humber;47.064;1.966;833,3221912;861,0063334
2014;East_Midlands;34.839;1.901;830,1687305;838,2223477
2014;West_Midlands;54.212;1.784;818,9608577;758,0091199
2014;East;49.262;1.757;716;805
2014;London;44.893;1.385;660,9079;471
2014;South_East;61.957;1.633;701;707
2014;South_West;58.128;1.756;836;730
2014;England;440.288;1.753;757;760
