Year,Mineral water,Soft drink (incl carbonates and still) - low calorie,Soft drink (incl carbonates & still) - not low calorie (including drinks where calorie content unspecified),Pure fruit juices,"Vegetable juices (e.g. tomato juice, carrot juice)",Soft drink where pure juice or juice drink not specified
2001,46,57,238,17,0,0
2002,53,54,239,16,0,0
2003,53,59,239,17,1,0
2004,62,44,213,15,0,0
2005,64,46,203,16,0,0
2006,70,44,195,18,0,0
2007,62,36,179,17,0,0
2008,49,36,174,17,0,0
2009,47,33,171,16,0,0
2010,48,46,153,15,0,0
2011,47,47,142,16,0,1
2012,41,35,144,15,0,2
2013,47,39,135,14,0,13
2014,50,39,119,14,0,25
