Year,All_persons,Male,Female,Unknown,growth_all,growth_male,growth_female,Under_16,16_24,25_34,35_44,45_54,55_64,65_74,75_over,growth_under_16,Growth_16_24,Growth_25_34,Growth_35_44,Growth_45_54,Growth_55_64,Growth_65_74,Growth_75_over,sugar_comp,soft_drinks,growth_sugar_comp,growth_soft_drinks
2014,440288,149490,290747,51,0.2043646072,0.2112005056,0.2008483467,"3,357","28,321","71,483","56,598","73,281","80,400","79,101","47,732",0.1149119894,0.1928147243,0.2103659053,0.1883096433,0.1853355547,0.1793179318,0.2410920217,0.243247467,109,1546,-0.1138211382,-0.0709134615
2013,365577,123423,242118,36,0.2502462347,0.2394480764,0.2558313234,"3,011","23,743","59,059","47,629","61,823","68,175","63,735","38,393",-0.0333868379,0.2596424213,0.3520523798,0.2019330255,0.2036251071,0.2244952942,0.2680553898,0.2874052713,123,1664,-0.0080645161,0.018983466
2012,292404,99579,192795,30,0.0965177413,0.0727259017,0.1092731426,"3,115","18,849","43,681","39,627","51,364","55,676","50,262","29,822",0.1030453258,0.1768856144,0.1786562331,0.0681707909,0.0810287494,0.0463643369,0.0938649372,0.1049686909,124,1633,-0.0158730159,0.0018404908
2011,266666,92828,173803,35,0.2591473348,0.2345790664,0.272666696,"2,824","16,016","37,060","37,098","47,514","53,209","45,949","26,989",0.0224475018,0.330011626,0.3743741888,0.2121152715,0.2103010851,0.2160945285,0.2743787442,0.3456820901,126,1630,0,-0.0512223516
2010,211783,75190,136566,27,0.4891329569,0.4317268694,0.5232051039,"2,762","12,042","26,965","30,606","39,258","43,754","36,056","20,056",0.1508333333,0.8220608261,0.7408005165,0.4339392804,0.4202814659,0.416720632,0.4841524656,0.4968281215,126,1718,0.008,0.0238379023
2009,142219,52517,89657,45,0.3809412839,0.3287369699,0.4128780119,"2,400","6,609","15,490","21,344","27,641","30,884","24,294","13,399",0.0767160162,0.527739251,0.5648045257,0.3763218984,0.3840568825,0.3348893499,0.3323461665,0.4058335956,125,1678,-0.0157480315,-0.0023781213
2008,102987,39524,63457,6,0.2727958079,0.2320448878,0.2995760716,"2,229","4,326","9,899","15,508","19,971","23,136","18,234","9,531",0.0594106464,0.3650994004,0.3714325298,0.2815469796,0.2734170758,0.2513386338,0.2578642384,0.2687699681,127,1682,0.016,-0.0023724792
2007,80914,32080,48829,5,0.2038803172,0.1543305387,0.2389688158,"2,104","3,169","7,218","12,101","15,683","18,489","14,496","7,512",0.1097046414,0.3683074266,0.3570219966,0.2148378677,0.2136666151,0.1641480922,0.1531302203,0.1931385006,125,1686,-0.0079365079,-0.0669618152
2006,67211,27791,39411,9,0.2920471366,0.2967058604,0.2899646504,"1,896","2,316","5,319","9,961","12,922","15,882","12,571","6,296",0.0978575565,0.3488642982,0.2509407338,0.3458992028,0.3108135524,0.3075909765,0.2500994431,0.3008264463,126,1807,-0.023255814,0.0518044237
2005,52019,21432,30552,35,0.2768218748,0.2918625678,0.265355146,"1,727","1,717","4,252","7,401","9,858","12,146","10,056","4,840",0.1467463479,0.1784488675,0.2328211076,0.2432387032,0.3278556034,0.3367818622,0.2870856265,0.1992071358,129,1718,-0.0373134328,-0.0622270742
2004,40741,16590,24145,6,,,,"1,506","1,457","3,449","5,953","7,424","9,086","7,813","4,036",,,,,,,,,134,1832,,
